h_ticker,name_en,sector
2603.HK,"Xiamen Jihong Co., Ltd",Consumer
2607.HK,"Shanghai Pharmaceuticals Holding Co., Ltd",Healthcare
2611.HK,"Guotai Haitong Securities Co., Ltd.",Financials
2628.HK,China Life,Financials
2631.HK,"SICC Co., Ltd.",Technology
2648.HK,"Anjoy Foods Group Co., Ltd.",Consumer
2676.HK,"Suzhou Novosense Microelectronics Co., Ltd.",Technology
2691.HK,NANHUA FUTURES,Financials
2692.HK,ZHAOWEI,Industrials
2701.HK,NSING TECH,Technology
2714.HK,"Muyuan Foods Group Co., Ltd.",Consumer
2715.HK,ESTUN,Industrials
2727.HK,"Shanghai Electric Group Co., Ltd.",Industrials
2768.HK,"Qingdao Gon Technology Co., Ltd.",Mining & Materials
2865.HK,"Hainan Drinda New Energy Technology Co., Ltd.",Industrials
2866.HK,"COSCO SHIPPING Development Co., Ltd.",Industrials
2880.HK,"Liaoning Port Co., Ltd.",Industrials
2883.HK,China Oilfield Services,Oil & Gas
2899.HK,Zijin Mining,Mining & Materials
3200.HK,HANS CNC,Technology
3268.HK,MEIG,Technology
3288.HK,Foshan Haitian Flavouring and Food Company Ltd.,Consumer
3296.HK,HUAQIN,Technology
3308.HK,"Zhongji Innolight Co., Ltd.",Technology
3328.HK,"Bank of Communications Co., Ltd.",Financials
3347.HK,"Hangzhou Tigermed Consulting Co., Ltd",Healthcare
3369.HK,"Qinhuangdao Port Co., Ltd.",Industrials
3606.HK,"Fuyao Glass Industry Group Co., Ltd.",Consumer
3618.HK,"Chongqing Rural Commercial Bank Co., Ltd.",Financials
3661.HK,SG Micro Corp,Technology
3678.HK,"Soho Holly Futures Co., Ltd.",Financials
3750.HK,"Contemporary Amperex Technology Co., Limited",Industrials
3759.HK,"Pharmaron Beijing Co., Ltd.",Healthcare
3866.HK,"Bank of Qingdao Co., Ltd.",Financials
3898.HK,"Zhuzhou CRRC Times Electric Co., Ltd.",Industrials
3908.HK,China International Capital Corporation Limited,Financials
3958.HK,Orient Securities Company Limited,Financials
3968.HK,China Merchants Bank,Financials
3969.HK,China Railway Signal & Communication Corporation Limited,Industrials
3986.HK,GIGADEVICE,Technology
3988.HK,Bank of China,Financials
3993.HK,CMOC Group Limited,Mining & Materials
3996.HK,China Energy Engineering Corporation Limited,Industrials
6030.HK,CITIC Securities,Financials
6031.HK,"Sany Heavy Industry Co.,Ltd",Industrials
6066.HK,"CSC Financial Co., Ltd.",Financials
6067.HK,SENIOR MATERIAL,Mining & Materials
6099.HK,"China Merchants Securities Co., Ltd.",Financials
6127.HK,"Joinn Laboratories(China)Co.,Ltd.",Healthcare
6160.HK,BeOne Medicines AG,Healthcare
6166.HK,"CIG Shanghai Co., Ltd.",Technology
6178.HK,Everbright Securities Company Limited,Financials
6185.HK,CanSino Biologics Inc.,Healthcare
6196.HK,"Bank of Zhengzhou Co., Ltd.",Financials
6198.HK,"Qingdao Port International Co., Ltd.",Industrials
6613.HK,"Lens Technology Co., Ltd.",Technology
6655.HK,"Huaxin Building Materials Group Co., Ltd.",Mining & Materials
6680.HK,"JL Mag Rare-Earth Co., Ltd.",Mining & Materials
6690.HK,"Haier Smart Home Co., Ltd.",Consumer
6693.HK,Chifeng Jilong Gold Mining Group Limited,Mining & Materials
6745.HK,BEFAR GROUP,Mining & Materials
6806.HK,"Shenwan Hongyuan Group Co., Ltd.",Financials
6809.HK,MONTAGE TECH,Technology
6818.HK,China Everbright Bank Company Limited,Financials
6821.HK,"Asymchem Laboratories (Tianjin) Co., Ltd.",Healthcare
6826.HK,"Shanghai Haohai Biological Technology Co., Ltd.",Healthcare
6865.HK,"Flat Glass Group Co., Ltd.",Mining & Materials
6869.HK,Yangtze Optical Fibre And Cable Joint Stock Limited Company,Technology
6881.HK,"China Galaxy Securities Co., Ltd.",Financials
6886.HK,Huatai Securities,Financials
6936.HK,"S.F. Holding Co., Ltd.",Industrials
6951.HK,CCTC,Technology
9611.HK,LONGCHEER,Technology
9630.HK,CFMEE,Technology
9696.HK,Tianqi Lithium Corporation,Mining & Materials
9927.HK,"Seres Group Co.,Ltd",Consumer
9969.HK,InnoCare Pharma Limited,Healthcare
9980.HK,"Eastroc Beverage (Group) Co., Ltd.",Consumer
9981.HK,"ShenZhen Woer Heat-Shrinkable Material Co.,Ltd.",Mining & Materials
9989.HK,"Shenzhen Hepalink Pharmaceutical Group Co., Ltd.",Healthcare
9995.HK,"RemeGen Co., Ltd.",Healthcare
